基礎数学,月,1,山田太郎,A101,基礎数学
英語リーディング,月,2,佐藤花子,B205,英語リーディング
日本史,月,4,田中美咲,A401,日本史
化学実験,月,5,伊藤健一,B102,化学実験
英語会話,火,2,渡辺京子,B401,英語会話
生物学,火,3,小林博,C101,生物学
世界史,火,4,斎藤雅子,A202,世界史
プログラミング,火,5,加藤修,B303,プログラミング
統計学,火,6,山本道子,C402,統計学
線形代数,水,1,石田和夫,B204,線形代数
英語作文,水,2,前田明美,C302,英語作文
地理,水,3,井上正人,A402,地理
確率論,木,2,橋本真理,A302,確率論
データベース,木,3,小川智美,B402,データベース
情報処理,木,4,中村智子,C205,情報処理
微積分学,木,5,高橋誠,A301,微積分学
データ分析,木,6,木村太一,A103,データ分析
有機化学,金,1,松本純子,B103,有機化学
経済学,金,2,山口浩二,C304,経済学
心理学,金,3,野田陽子,A204,心理学
哲学,金,4,藤田健一,B305,哲学
人工知能,金,6,岡田美穂,C401,人工知能
